[error] `inotify-tools` is needed to run `file_system` for your system, check https://github.com/rvoicilas/inotify-tools/wiki for more information about how to install it. If it's already installed but not be found, appoint executable file with `config.exs` or `FILESYSTEM_FSINOTIFY_EXECUTABLE_FILE` env.
[warning] Not able to start file_system worker, reason: {:error, :fs_inotify_bootstrap_error}
[warning] Could not start Phoenix live-reload because we cannot listen to the file system.
You don't need to worry! This is an optional feature used during development to
refresh your browser when you save files and it does not affect production.

[info] Running ChatsWeb.Endpoint with Bandit 1.8.0 at 127.0.0.1:4000 (http)
[info] Access ChatsWeb.Endpoint at http://localhost:4000
[watch] build finished, watching for changes...
≈ tailwindcss v4.1.7
Done in 2ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 3ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 3ms
Done in 2ms
[info] GET /
[debug] Processing with ChatsWeb.PageController.home/2
  Parameters: %{}
  Pipelines: [:browser]
[info] Sent 200 in 46ms
Done in 2ms
Done in 2ms
Done in 1ms
[info] GET /api/sessions/me
[debug] Processing with ChatsWeb.SessionController.me/2
  Parameters: %{}
  Pipelines: [:api]
[info] Sent 200 in 5ms
Done in 1ms
Done in 1ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 2ms
Done in 2ms
Done in 3ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 2ms
[info] POST /api/sockets
[debug] Processing with ChatsWeb.SocketController.create/2
  Parameters: %{}
  Pipelines: [:api]
[info] Sent 200 in 5ms
[info] CONNECTED TO ChatsWeb.UserSocket in 30µs
  Transport: :websocket
  Serializer: Phoenix.Socket.V2.JSONSerializer
  Parameters: %{"token" => "746f6b656e5f569943b60a0ee339acb74060d7b3246c", "vsn" => "2.0.0"}
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 3ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 2ms
Done in 3ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 2ms
[info] POST /api/rooms/search
[debug] Processing with ChatsWeb.RoomController.search/2
  Parameters: %{}
  Pipelines: [:api]
[debug] QUERY OK source="rooms" db=1.0ms queue=1.3ms idle=20.0ms
SELECT r0."id", r0."hash", r0."topic", r0."level", r0."searchable", r0."watched", r0."creator_session_id", r0."inserted_at", r0."updated_at" FROM "rooms" AS r0 WHERE ((r0."searchable" = TRUE) AND (r0."level" = 0)) ORDER BY RANDOM() LIMIT 1 []
[90m↳ ChatsWeb.RoomController.search/2, at: lib/chats_web/controllers/room_controller.ex:117[0m
[debug] QUERY OK source="rooms" db=0.6ms queue=1.2ms idle=25.8ms
SELECT r0."id", r0."hash", r0."topic", r0."level", r0."searchable", r0."watched", r0."creator_session_id", r0."inserted_at", r0."updated_at" FROM "rooms" AS r0 WHERE (r0."hash" = $1) ["general"]
[90m↳ Chats.RoomContext.find_or_create_room/2, at: lib/chats/room_context.ex:59[0m
[debug] QUERY OK source="rooms" db=6.7ms queue=0.5ms idle=46.4ms
INSERT INTO "rooms" ("level","hash","topic","searchable","watched","inserted_at","updated_at") VALUES ($1,$2,$3,$4,$5,$6,$7) RETURNING "id" [0, "general", "Общий чат", true, false, ~U[2025-09-25 08:40:02Z], ~U[2025-09-25 08:40:02Z]]
[90m↳ ChatsWeb.RoomController.search/2, at: lib/chats_web/controllers/room_controller.ex:120[0m
[info] Sent 200 in 48ms
Done in 2ms
[info] POST /api/rooms/general/enter
[debug] Processing with ChatsWeb.RoomController.enter/2
  Parameters: %{"hash" => "general", "socket_id" => "736f636b65745f422be11725d2b1f7"}
  Pipelines: [:api]
[debug] QUERY OK source="rooms" db=2.8ms idle=119.8ms
SELECT r0."id", r0."hash", r0."topic", r0."level", r0."searchable", r0."watched", r0."creator_session_id", r0."inserted_at", r0."updated_at" FROM "rooms" AS r0 WHERE (r0."hash" = $1) ["general"]
[90m↳ Chats.RoomContext.find_or_create_room/2, at: lib/chats/room_context.ex:59[0m
[info] Sent 200 in 6ms
Done in 2ms
[info] GET /api/messages
[debug] Processing with ChatsWeb.MessageController.index/2
  Parameters: %{"{\"room_id\":1,\"order_by\":{\"-desc\":\"message_id\"},\"for_me\":0}" => ""}
  Pipelines: [:api]
[info] Sent 200 in 3ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 3ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 3ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 4ms
Done in 4ms
Done in 1ms
Done in 3ms
Done in 5ms
Done in 4ms
Done in 3ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 2ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 3ms
Done in 3ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 1ms
Done in 3ms
Done in 3ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 3ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 3ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 4ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 2ms
Done in 3ms
Done in 2ms
[info] GET /
[debug] Processing with ChatsWeb.PageController.home/2
  Parameters: %{}
  Pipelines: [:browser]
[info] Sent 200 in 7ms
Done in 3ms
Done in 2ms
Done in 3ms
Done in 3ms
Done in 5ms
[info] GET /api/sessions/me
[debug] Processing with ChatsWeb.SessionController.me/2
  Parameters: %{}
  Pipelines: [:api]
[info] Sent 200 in 1ms
[info] POST /api/sockets
[debug] Processing with ChatsWeb.SocketController.create/2
  Parameters: %{}
  Pipelines: [:api]
[info] Sent 200 in 2ms
[info] CONNECTED TO ChatsWeb.UserSocket in 46µs
  Transport: :websocket
  Serializer: Phoenix.Socket.V2.JSONSerializer
  Parameters: %{"token" => "746f6b656e5fb958cf482c6b02c47428d5889282f62e", "vsn" => "2.0.0"}
Done in 2ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 3ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 2ms
[info] GET /
[debug] Processing with ChatsWeb.PageController.home/2
  Parameters: %{}
  Pipelines: [:browser]
[info] Sent 200 in 2ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 4ms
[info] GET /api/sessions/me
[debug] Processing with ChatsWeb.SessionController.me/2
  Parameters: %{}
  Pipelines: [:api]
[info] Sent 200 in 1ms
Done in 2ms
[info] POST /api/sockets
[debug] Processing with ChatsWeb.SocketController.create/2
  Parameters: %{}
  Pipelines: [:api]
[info] Sent 200 in 1ms
[info] CONNECTED TO ChatsWeb.UserSocket in 36µs
  Transport: :websocket
  Serializer: Phoenix.Socket.V2.JSONSerializer
  Parameters: %{"token" => "746f6b656e5f47b5332b2e224c464a5f01670c9d7b3f", "vsn" => "2.0.0"}
Done in 1ms
Done in 1ms
Done in 2ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
[info] POST /api/rooms/search
[debug] Processing with ChatsWeb.RoomController.search/2
  Parameters: %{}
  Pipelines: [:api]
[debug] QUERY OK source="rooms" db=1.3ms idle=1005.4ms
SELECT r0."id", r0."hash", r0."topic", r0."level", r0."searchable", r0."watched", r0."creator_session_id", r0."inserted_at", r0."updated_at" FROM "rooms" AS r0 WHERE ((r0."searchable" = TRUE) AND (r0."level" = 0)) ORDER BY RANDOM() LIMIT 1 []
[90m↳ ChatsWeb.RoomController.search/2, at: lib/chats_web/controllers/room_controller.ex:117[0m
[info] Sent 200 in 3ms
Done in 4ms
[info] POST /api/rooms/general/enter
[debug] Processing with ChatsWeb.RoomController.enter/2
  Parameters: %{"hash" => "general", "socket_id" => "736f636b65745f38d0f1075da580f3"}
  Pipelines: [:api]
[debug] QUERY OK source="rooms" db=1.5ms idle=97.6ms
SELECT r0."id", r0."hash", r0."topic", r0."level", r0."searchable", r0."watched", r0."creator_session_id", r0."inserted_at", r0."updated_at" FROM "rooms" AS r0 WHERE (r0."hash" = $1) ["general"]
[90m↳ Chats.RoomContext.find_or_create_room/2, at: lib/chats/room_context.ex:59[0m
[info] Sent 200 in 5ms
Done in 2ms
[info] GET /api/messages
[debug] Processing with ChatsWeb.MessageController.index/2
  Parameters: %{"{\"room_id\":1,\"order_by\":{\"-desc\":\"message_id\"},\"for_me\":0}" => ""}
  Pipelines: [:api]
[info] Sent 200 in 1ms
Done in 1ms
Done in 4ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 1ms
Done in 3ms
Done in 2ms
Done in 3ms
Done in 3ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 3ms
Done in 3ms
Done in 1ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 3ms
Done in 3ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 3ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 3ms
Done in 3ms
Done in 1ms
Done in 1ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 2ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 3ms
Done in 3ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 3ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 3ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 2ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 4ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 3ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 3ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 3ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 3ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 1ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
